Date,symbol,open,high,low,close,volume
2025-02-25 09:15:00,NSE:IREDA,173.75,178.45,172.81,173.55,9808750.0
2025-02-27 09:15:00,NSE:IREDA,173.55,174.5,165.5,166.51,5835588.0
2025-02-28 09:15:00,NSE:IREDA,161.0,162.33,151.5,156.02,34288352.0
2025-03-03 09:15:00,NSE:IREDA,156.65,158.62,143.22,147.31,29097095.0
2025-03-04 09:15:00,NSE:IREDA,144.95,151.3,144.01,144.64,19899282.0
2025-03-05 09:15:00,NSE:IREDA,145.5,149.87,145.5,147.26,20624159.0
2025-03-06 09:15:00,NSE:IREDA,150.05,152.46,149.0,149.86,13411147.0
2025-03-07 09:15:00,NSE:IREDA,149.79,153.68,148.22,149.59,14291801.0
2025-03-10 09:15:00,NSE:IREDA,149.17,150.5,142.94,143.95,9928538.0
2025-03-11 09:15:00,NSE:IREDA,141.21,142.78,139.29,141.98,12514353.0
2025-03-12 09:15:00,NSE:IREDA,143.0,144.39,140.15,141.26,7642541.0
2025-03-13 09:15:00,NSE:IREDA,142.0,142.45,139.21,139.85,7255248.0
2025-03-17 09:15:00,NSE:IREDA,140.64,142.44,137.01,138.16,7494253.0
2025-03-18 09:15:00,NSE:IREDA,140.25,147.3,139.98,145.95,23100355.0
2025-03-19 09:15:00,NSE:IREDA,147.5,152.5,147.05,151.87,17305616.0
2025-03-20 09:15:00,NSE:IREDA,153.12,154.8,149.0,149.96,13546511.0
2025-03-21 09:15:00,NSE:IREDA,149.96,156.67,149.09,154.82,18386828.0
2025-03-24 09:15:00,NSE:IREDA,156.35,173.3,156.23,170.04,73222288.0
2025-03-25 09:15:00,NSE:IREDA,172.0,176.77,168.1,169.95,66572208.0
2025-03-26 09:15:00,NSE:IREDA,170.0,171.0,162.25,162.92,27974467.0
2025-03-27 09:15:00,NSE:IREDA,161.69,167.4,160.76,161.66,32379027.0
2025-03-28 09:15:00,NSE:IREDA,163.3,166.77,159.0,160.59,17484881.0
2025-04-01 09:15:00,NSE:IREDA,160.4,162.4,158.61,160.67,13301120.0
2025-04-02 09:15:00,NSE:IREDA,161.5,162.1,157.5,161.42,11792518.0
2025-04-03 09:15:00,NSE:IREDA,158.5,163.24,158.5,161.51,12848277.0
2025-04-04 09:15:00,NSE:IREDA,162.07,162.59,154.7,156.45,12607809.0
2025-04-07 09:15:00,NSE:IREDA,140.8,151.76,140.8,149.6,15255208.0
2025-04-08 09:15:00,NSE:IREDA,157.0,157.0,152.06,153.85,11480673.0
2025-04-09 09:15:00,NSE:IREDA,153.99,155.0,150.31,151.62,7522115.0
2025-04-11 09:15:00,NSE:IREDA,156.5,157.68,153.2,154.2,8443458.0
2025-04-15 09:15:00,NSE:IREDA,159.0,168.75,158.6,166.98,27595431.0
2025-04-16 09:15:00,NSE:IREDA,177.03,179.68,174.0,176.39,115506723.0
2025-04-17 09:15:00,NSE:IREDA,175.0,175.4,172.55,173.41,18860517.0
2025-04-21 09:15:00,NSE:IREDA,173.9,176.41,171.1,175.67,16273864.0
2025-04-22 09:15:00,NSE:IREDA,176.0,179.27,173.8,178.64,15586863.0
2025-04-23 09:15:00,NSE:IREDA,179.8,183.2,174.0,177.73,31057252.0
2025-04-24 09:15:00,NSE:IREDA,178.0,181.78,174.1,175.14,17775832.0
2025-04-25 09:15:00,NSE:IREDA,175.14,176.43,166.35,167.55,17407389.0
2025-04-28 09:15:00,NSE:IREDA,166.51,169.3,165.51,167.89,11231636.0
2025-04-29 09:15:00,NSE:IREDA,168.73,171.14,167.7,168.11,7079798.0
2025-04-30 09:15:00,NSE:IREDA,168.0,168.49,164.6,167.06,10981945.0
2025-05-02 09:15:00,NSE:IREDA,166.15,168.2,164.3,165.72,8363436.0
2025-05-05 09:15:00,NSE:IREDA,166.3,169.6,165.15,168.75,7919383.0
2025-05-06 09:15:00,NSE:IREDA,168.51,168.74,159.75,160.23,10925576.0
2025-05-07 09:15:00,NSE:IREDA,157.03,163.0,156.55,162.37,12392991.0
2025-05-08 09:15:00,NSE:IREDA,163.49,164.95,157.45,158.79,6856306.0
2025-05-09 09:15:00,NSE:IREDA,153.2,158.0,153.0,156.48,11637047.0
2025-05-12 09:15:00,NSE:IREDA,165.0,168.85,163.0,168.0,12043565.0
2025-05-13 09:15:00,NSE:IREDA,168.5,169.31,166.15,167.08,8514560.0
2025-05-14 09:15:00,NSE:IREDA,168.0,170.59,166.05,167.79,11858299.0
2025-05-15 09:15:00,NSE:IREDA,166.99,169.25,165.31,166.75,14774415.0
2025-05-16 09:15:00,NSE:IREDA,167.5,175.98,167.02,173.29,24274411.0
2025-05-19 09:15:00,NSE:IREDA,174.2,178.52,172.9,174.23,17216917.0
2025-05-20 09:15:00,NSE:IREDA,175.5,175.9,169.16,169.53,9069123.0
2025-05-21 09:15:00,NSE:IREDA,169.7,173.0,167.49,172.21,9749056.0
2025-05-22 09:15:00,NSE:IREDA,170.5,171.9,168.31,170.7,7076795.0
2025-05-23 09:15:00,NSE:IREDA,171.0,172.45,169.23,171.85,6901899.0
2025-05-26 09:15:00,NSE:IREDA,171.85,175.19,171.85,173.55,9838997.0
2025-05-27 09:15:00,NSE:IREDA,173.8,175.65,171.28,175.24,8393528.0
2025-05-28 09:15:00,NSE:IREDA,176.0,177.5,173.11,173.6,8484251.0
2025-05-29 09:15:00,NSE:IREDA,174.64,177.2,173.45,176.65,11420748.0
2025-05-30 09:15:00,NSE:IREDA,177.14,177.9,173.25,174.73,8450040.0
2025-06-02 09:15:00,NSE:IREDA,174.69,176.4,173.01,175.21,6894857.0
2025-06-03 09:15:00,NSE:IREDA,175.5,175.5,171.69,172.73,10167418.0
2025-06-04 09:15:00,NSE:IREDA,172.69,176.75,171.5,174.0,12917090.0
2025-06-05 09:15:00,NSE:IREDA,174.49,179.0,174.22,176.44,17252049.0
2025-06-06 09:15:00,NSE:IREDA,174.0,175.94,172.51,174.87,16430543.0
2025-06-09 09:15:00,NSE:IREDA,175.69,186.58,175.36,183.24,55881568.0
2025-06-10 09:15:00,NSE:IREDA,184.39,185.94,181.6,182.46,23494178.0
2025-06-11 09:15:00,NSE:IREDA,181.9,184.48,179.5,182.34,20354805.0
2025-06-12 09:15:00,NSE:IREDA,182.2,183.49,174.5,175.55,15247001.0
2025-06-13 09:15:00,NSE:IREDA,167.0,170.14,162.77,167.26,40050180.0
2025-06-16 09:15:00,NSE:IREDA,168.0,170.09,165.0,167.93,14839323.0
2025-06-17 09:15:00,NSE:IREDA,168.0,169.25,164.52,164.97,10983695.0
2025-06-18 09:15:00,NSE:IREDA,165.1,166.95,163.81,165.21,8146064.0
2025-06-19 09:15:00,NSE:IREDA,165.0,167.14,158.05,158.75,19471217.0
2025-06-20 09:15:00,NSE:IREDA,162.6,166.5,159.81,165.07,32577822.0
2025-06-23 09:15:00,NSE:IREDA,162.99,166.7,162.5,165.47,12608797.0
2025-06-24 09:15:00,NSE:IREDA,168.0,169.0,165.61,166.17,12169462.0
2025-06-25 09:15:00,NSE:IREDA,167.0,172.64,166.64,171.6,20188007.0
2025-06-26 09:15:00,NSE:IREDA,172.55,173.1,169.05,170.93,11124273.0
2025-06-27 09:15:00,NSE:IREDA,171.48,172.5,169.1,169.5,11806174.0
2025-06-30 09:15:00,NSE:IREDA,170.26,172.4,169.41,170.13,7327935.0
2025-07-01 09:15:00,NSE:IREDA,171.8,174.6,169.4,170.39,17480249.0
2025-07-02 09:15:00,NSE:IREDA,171.01,171.3,167.33,168.23,8179033.0
2025-07-03 09:15:00,NSE:IREDA,168.3,168.75,166.8,167.52,5327265.0
2025-07-04 09:15:00,NSE:IREDA,167.83,168.3,165.53,166.67,5613838.0
2025-07-07 09:15:00,NSE:IREDA,166.67,167.88,165.71,167.13,4183895.0
2025-07-08 09:15:00,NSE:IREDA,167.5,167.97,165.2,166.48,4694765.0
2025-07-09 09:15:00,NSE:IREDA,167.1,167.27,164.12,165.91,8823909.0
2025-07-10 09:15:00,NSE:IREDA,167.0,170.16,167.0,169.64,20692786.0
2025-07-11 09:15:00,NSE:IREDA,161.0,163.55,159.75,160.0,40559918.0
2025-07-14 09:15:00,NSE:IREDA,160.0,160.0,156.5,159.0,11904949.0
2025-07-15 09:15:00,NSE:IREDA,160.0,160.75,158.91,159.64,7758098.0
2025-07-16 09:15:00,NSE:IREDA,160.0,160.8,159.5,160.03,5109899.0
2025-07-17 09:15:00,NSE:IREDA,160.5,160.75,159.01,159.24,4479996.0
2025-07-18 09:15:00,NSE:IREDA,159.59,159.7,157.1,157.39,4930315.0
2025-07-21 09:15:00,NSE:IREDA,157.39,158.29,155.61,157.3,5457193.0
2025-07-22 09:15:00,NSE:IREDA,157.48,158.49,156.0,156.22,4399404.0
2025-07-23 09:15:00,NSE:IREDA,156.5,157.5,155.25,156.91,4995506.0
2025-07-24 09:15:00,NSE:IREDA,156.98,158.07,156.0,156.21,4352512.0
2025-07-25 09:15:00,NSE:IREDA,156.2,156.35,153.0,153.25,5486698.0
2025-07-28 09:15:00,NSE:IREDA,153.25,155.79,149.9,150.49,6316214.0
2025-07-29 09:15:00,NSE:IREDA,150.49,150.97,147.11,150.49,7688547.0
2025-07-30 09:15:00,NSE:IREDA,150.92,151.77,150.0,150.22,5136389.0
2025-07-31 09:15:00,NSE:IREDA,149.0,150.16,145.0,147.38,7208345.0
2025-08-01 09:15:00,NSE:IREDA,147.45,148.65,145.2,145.69,5314027.0
2025-08-04 09:15:00,NSE:IREDA,146.5,148.49,145.86,148.03,5468185.0
2025-08-05 09:15:00,NSE:IREDA,148.03,149.0,146.0,146.63,3921938.0
2025-08-06 09:15:00,NSE:IREDA,146.77,147.32,143.62,144.36,4802241.0
2025-08-07 09:15:00,NSE:IREDA,143.8,145.45,140.26,144.57,6734089.0
2025-08-08 09:15:00,NSE:IREDA,145.01,145.55,142.0,142.32,4286844.0
2025-08-11 09:15:00,NSE:IREDA,142.6,145.09,141.55,144.86,4381853.0
2025-08-12 09:15:00,NSE:IREDA,144.9,145.94,143.3,143.57,2899573.0
2025-08-13 09:15:00,NSE:IREDA,144.25,145.0,143.25,144.24,3146940.0
2025-08-14 09:15:00,NSE:IREDA,144.24,145.0,143.0,143.86,2888240.0
2025-08-18 09:15:00,NSE:IREDA,145.54,148.4,144.9,147.39,6107771.0
2025-08-19 09:15:00,NSE:IREDA,147.9,149.1,146.57,148.91,3724924.0
2025-08-20 09:15:00,NSE:IREDA,148.91,149.5,147.79,148.78,3377666.0
2025-08-21 09:15:00,NSE:IREDA,148.9,151.99,146.61,147.28,8194223.0
2025-08-22 09:15:00,NSE:IREDA,147.1,149.2,146.6,147.48,3658082.0
2025-08-25 09:15:00,NSE:IREDA,147.98,149.48,146.73,147.7,5109249.0
2025-08-26 09:15:00,NSE:IREDA,147.95,148.67,143.8,144.17,5093969.0
2025-08-28 09:15:00,NSE:IREDA,144.0,144.65,140.63,141.03,7014954.0
2025-08-29 09:15:00,NSE:IREDA,141.49,142.5,140.01,140.5,5708698.0
2025-09-01 09:15:00,NSE:IREDA,141.15,142.74,140.76,142.51,4554608.0
2025-09-02 09:15:00,NSE:IREDA,143.25,146.75,142.45,144.14,6130396.0
2025-09-03 09:15:00,NSE:IREDA,144.8,146.0,144.5,145.7,3407827.0
2025-09-04 09:15:00,NSE:IREDA,147.69,147.8,143.77,144.01,4245679.0
2025-09-05 09:15:00,NSE:IREDA,144.8,146.21,143.2,145.51,3657064.0
2025-09-08 09:15:00,NSE:IREDA,146.01,147.3,145.28,145.55,2882119.0
2025-09-09 09:15:00,NSE:IREDA,145.69,146.19,144.36,145.09,2521588.0
2025-09-10 09:15:00,NSE:IREDA,145.44,149.1,145.44,147.57,6625296.0
2025-09-11 09:15:00,NSE:IREDA,147.57,148.46,146.5,146.63,3591765.0
2025-09-12 09:15:00,NSE:IREDA,147.4,148.46,146.73,147.35,4417254.0
2025-09-15 09:15:00,NSE:IREDA,147.9,154.44,147.89,152.37,17984216.0
2025-09-16 09:15:00,NSE:IREDA,152.85,153.42,150.56,152.94,5429477.0
2025-09-17 09:15:00,NSE:IREDA,153.69,154.69,153.0,153.97,5633032.0
2025-09-18 09:15:00,NSE:IREDA,154.8,159.29,154.2,155.53,17949103.0
2025-09-19 09:15:00,NSE:IREDA,155.51,161.2,154.11,160.87,26176765.0
2025-09-22 09:15:00,NSE:IREDA,160.85,163.35,158.3,159.06,14677794.0
2025-09-23 09:15:00,NSE:IREDA,159.3,159.81,155.0,155.64,8095947.0
2025-09-24 09:15:00,NSE:IREDA,155.5,156.3,152.2,152.68,5142721.0
2025-09-25 09:15:00,NSE:IREDA,152.5,155.4,149.81,150.27,5060148.0
2025-09-26 09:15:00,NSE:IREDA,149.99,150.26,146.0,146.28,5121293.0
2025-09-29 09:15:00,NSE:IREDA,146.9,150.62,146.63,148.78,6447550.0
2025-09-30 09:15:00,NSE:IREDA,149.59,150.75,147.26,148.7,5826154.0
2025-10-01 09:15:00,NSE:IREDA,151.68,155.37,149.77,152.68,21170795.0
2025-10-03 09:15:00,NSE:IREDA,152.65,156.4,151.8,154.09,10126517.0
2025-10-06 09:15:00,NSE:IREDA,154.09,154.75,150.51,151.16,6858953.0
2025-10-07 09:15:00,NSE:IREDA,151.16,153.42,150.5,152.44,5953210.0
2025-10-08 09:15:00,NSE:IREDA,152.45,152.99,148.4,148.64,6214215.0
2025-10-09 09:15:00,NSE:IREDA,148.64,150.0,147.01,148.85,7966035.0
2025-10-10 09:15:00,NSE:IREDA,149.3,152.25,149.0,150.96,4967262.0
2025-10-13 09:15:00,NSE:IREDA,149.9,150.8,148.57,150.07,4860814.0
2025-10-14 09:15:00,NSE:IREDA,151.0,155.86,148.31,154.52,44012398.0
2025-10-15 09:15:00,NSE:IREDA,156.39,158.7,153.29,154.89,28256777.0
2025-10-16 09:15:00,NSE:IREDA,155.9,156.0,152.86,153.13,8073946.0
2025-10-17 09:15:00,NSE:IREDA,153.0,153.38,149.63,151.05,7076999.0
2025-10-20 09:15:00,NSE:IREDA,151.54,154.98,151.54,153.25,6935396.0
2025-10-21 13:45:00,NSE:IREDA,153.0,154.02,152.66,153.14,1964004.0
2025-10-23 09:15:00,NSE:IREDA,153.65,155.39,153.03,153.54,6341599.0
2025-10-24 09:15:00,NSE:IREDA,153.54,155.19,152.75,153.4,6503396.0
2025-10-27 09:15:00,NSE:IREDA,153.58,155.75,153.13,153.37,7162776.0
2025-10-28 09:15:00,NSE:IREDA,153.9,153.99,150.9,151.47,8270601.0
2025-10-29 09:15:00,NSE:IREDA,151.74,156.75,151.15,155.57,9965445.0
2025-10-30 09:15:00,NSE:IREDA,155.96,156.66,153.11,153.74,5699289.0
2025-10-31 09:15:00,NSE:IREDA,153.74,154.75,151.42,151.93,4278444.0
2025-11-03 09:15:00,NSE:IREDA,152.15,153.74,151.56,153.3,3593706.0
2025-11-04 09:15:00,NSE:IREDA,153.44,153.44,150.45,151.01,5500388.0
2025-11-06 09:15:00,NSE:IREDA,151.2,151.5,148.2,148.56,5841929.0
2025-11-07 09:15:00,NSE:IREDA,148.0,150.39,146.25,149.37,5338117.0
2025-11-10 09:15:00,NSE:IREDA,149.95,150.25,148.42,148.71,3224588.0
2025-11-11 09:15:00,NSE:IREDA,148.9,149.39,146.58,149.04,4634146.0
2025-11-12 09:15:00,NSE:IREDA,149.76,153.48,149.55,150.93,6667190.0
2025-11-13 09:15:00,NSE:IREDA,150.96,152.13,149.05,149.29,4602992.0
2025-11-14 09:15:00,NSE:IREDA,149.51,150.95,148.31,149.61,5447973.0
2025-11-17 09:15:00,NSE:IREDA,149.61,152.38,149.51,150.71,5346259.0
2025-11-18 09:15:00,NSE:IREDA,151.0,151.0,148.0,148.08,5482207.0
2025-11-19 09:15:00,NSE:IREDA,148.0,148.37,146.5,147.1,3350146.0
2025-11-20 09:15:00,NSE:IREDA,147.29,148.16,146.45,146.64,3146750.0
2025-11-21 09:15:00,NSE:IREDA,146.5,146.77,144.0,144.41,4102741.0
2025-11-24 09:15:00,NSE:IREDA,144.41,145.16,142.2,142.49,3755997.0
2025-11-25 09:15:00,NSE:IREDA,142.49,143.28,140.53,141.36,4975277.0
2025-11-26 09:15:00,NSE:IREDA,142.11,144.79,142.1,144.35,3691030.0
2025-11-27 09:15:00,NSE:IREDA,144.44,145.48,143.1,143.76,2478216.0
2025-11-28 09:15:00,NSE:IREDA,143.92,144.2,142.42,142.9,2469997.0
2025-12-01 09:15:00,NSE:IREDA,142.9,144.3,142.0,142.48,3070252.0
